Sensor1| Sensor2| Sensor3| Sensor4| Sensor5| Greeting
61| 36| 35| 34| 45| M
62| 39| 38| 33| 46| M
64| 35| 36| 36| 45| M
62| 39| 64| 63| 50| N
61| 38| 64| 63| 50| N
62| 45| 65| 64| 49| N
63| 43| 66| 64| 50| N
62| 48| 63| 62| 45| N
63| 47| 65| 64| 49| N
64| 46| 66| 63| 48| N
64| 40| 65| 64| 51| N
62| 47| 65| 65| 53| N
62| 46| 64| 65| 52| N
62| 47| 64| 61| 51| N
66| 34| 67| 67| 46| N
58| 35| 64| 65| 48| N
65| 42| 62| 67| 44| N
37| 61| 64| 65| 53| G
37| 62| 64| 65| 49| G
36| 60| 63| 63| 50| G
38| 63| 65| 64| 51| G
35| 62| 64| 66| 52| G
39| 61| 65| 64| 51| G
36| 62| 65| 66| 57| G
35| 61| 64| 65| 56| G
39| 60| 64| 65| 52| G
38| 61| 62| 67| 48| G
44| 60| 65| 60| 57| G
45| 58| 59| 59| 46| G
39| 65| 58| 57| 47| G

